state	inc2000	inc2004	inc2007	rep1996	rep2000	rep2004	rep2008	vote1996	vote2000	vote2004	vote2008	hsp2000	hsp2004	hsp2007	pop1996	pop2000	pop2004	pop2007
TN	44018	38550	41632	0.487	0.52	0.572	0.576	1894105	2076181	2437319	2601982	0.009666801	0.010243816	0.010614859	4027153	4202114	4232212	4476178
TX	47437	41275	44861	0.527	0.61	0.615	0.559	5611644	6407637	7410765	8086684	0.223200309	0.24595141	0.243677287	12531791	13305564	13737189	14671511
UT	54827	50614	55974	0.62	0.717	0.733	0.645	665629	770754	927844	956061	0.048266834	0.061668809	0.055317031	1326919	1425513	1516423	1657410
VT	48769	45692	51566	0.368	0.446	0.397	0.311	258449	294308	312309	325046	0.00712099	0.007364963	0.00935587	435687	451763	455671	478630
VA	56740	53275	57679	0.511	0.541	0.541	0.468	2416642	2739447	3198367	3723260	0.022773881	0.02546283	0.02804813	4864015	5053684	5069468	5423891
WA	54478	48688	56049	0.428	0.471	0.464	0.413	2253837	2488745	2859084	3052786	0.038944603	0.048608928	0.044705011	3905285	4086728	4248952	4453550
WV	35024	32589	40103	0.416	0.532	0.565	0.567	636459	648124	755887	713854	0.005439479	0.00442418	0.006299609	1393074	1395538	1381499	1406754
WI	50821	47220	50619	0.441	0.499	0.498	0.429	2196169	2598607	2997007	2983417	0.019544076	0.022763563	0.024381753	3808099	3895605	3934138	4121976
WY	46493	43641	48205	0.575	0.71	0.703	0.666	211571	218351	243428	254658	0.046473121	0.047597994	0.052209434	348691	361155	368671	382383
National	50467.98108	44983.70067	49995.04042	0.444035608	0.487904086	0.502881201	0.462963394	96275401	105417475	122293548	131442598	0.073880941	0.084852063	0.086695083	186434199	193377166	195322358	205883256
